,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,count
3080,17.0,?,126071.66666666667,10th,6.0,Never-married,?,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50k,6
441,17.09090909090909,"Private,Self-emp-not-inc",199929.0,10th,6.0,Never-married,"Handlers-cleaners,Adm-clerical,Farming-fishing,Sales",Own-child,White,Male,0.0,0.0,15.454545454545455,United-States,<=50k,11
769,17.11111111111111,"Private,State-gov",133129.33333333334,10th,6.0,Never-married,"Prof-specialty,Other-service",Own-child,White,Male,0.0,0.0,23.88888888888889,United-States,<=50k,9
434,17.166666666666668,Private,108906.66666666667,10th,6.0,Never-married,Other-service,Own-child,"White,Black",Female,0.0,267.0,8.5,United-States,<=50k,6
3048,17.166666666666668,"Private,Self-emp-not-inc",157540.66666666666,"12th,11th",7.166666666666667,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,13.5,"United-States,?",<=50k,6
1167,17.25,Private,101160.5,"12th,11th",7.25,Never-married,"Adm-clerical,Sales",Own-child,White,Female,0.0,0.0,14.5,United-States,<=50k,8
222,17.25,Private,246769.5,10th,6.0,Never-married,"Handlers-cleaners,Priv-house-serv,Sales",Own-child,"White,Black",Female,0.0,0.0,20.375,United-States,<=50k,8
768,17.25,Private,76755.5,10th,6.0,Never-married,Other-service,Own-child,White,Male,0.0,0.0,11.875,United-States,<=50k,8
1174,17.3,Private,196658.7,11th,7.0,Never-married,Sales,Own-child,"White,Black",Female,0.0,160.2,11.5,United-States,<=50k,10
276,17.333333333333332,"Local-gov,?",214284.5,"12th,11th",7.166666666666667,Never-married,"Prof-specialty,?",Own-child,"White,Black",Female,0.0,0.0,20.0,"United-States,Puerto-Rico",<=50k,6
3674,17.333333333333332,Private,165832.16666666666,"12th,11th",7.5,Never-married,Other-service,Own-child,White,Male,0.0,0.0,25.333333333333332,United-States,<=50k,6
3054,17.333333333333332,Private,268583.3333333333,"12th,11th",7.166666666666667,Never-married,"Other-service,Sales",Own-child,White,Male,0.0,0.0,22.5,"United-States,England",<=50k,6
1178,17.333333333333332,"Private,Self-emp-not-inc",247247.0,11th,7.0,Never-married,"Prof-specialty,Other-service,Adm-clerical",Own-child,White,Female,99.0,0.0,6.333333333333333,United-States,<=50k,6
2341,17.454545454545453,Private,216227.72727272726,"12th,11th",7.363636363636363,Never-married,"Other-service,Sales",Own-child,White,Male,108.0,0.0,14.0,United-States,<=50k,11
1172,17.454545454545453,Private,92909.45454545454,11th,7.0,Never-married,"Priv-house-serv,Prof-specialty,Other-service","Not-in-family,Own-child",White,Female,0.0,0.0,20.0,United-States,<=50k,11
3047,17.5,Private,73123.33333333333,"12th,11th",7.166666666666667,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,13.5,United-States,<=50k,6
3049,17.5,Private,92717.66666666667,"12th,11th",7.333333333333333,Never-married,"Handlers-cleaners,Other-service",Own-child,White,Male,0.0,286.5,16.833333333333332,United-States,<=50k,6
1192,17.5,"Private,Federal-gov",230619.7,"12th,11th",7.3,Never-married,"Handlers-cleaners,Machine-op-inspct,Adm-clerical",Own-child,White,Male,0.0,0.0,11.3,United-States,<=50k,10
1679,17.5,"Private,Self-emp-not-inc",116968.5,"12th,11th",7.25,Never-married,"Farming-fishing,Sales",Own-child,White,Male,0.0,0.0,22.25,United-States,<=50k,8
1166,17.5,"Private,State-gov",121412.125,"12th,11th",7.375,Never-married,"Adm-clerical,Sales","Not-in-family,Own-child","White,Black",Female,0.0,0.0,7.625,"United-States,?",<=50k,8
